id,signe,definition
1489,SCIENCES.MEXIQUE,science
435,PLUSIEURS,"plusieurs, nombreux, certains, quelques, etc.."
513,SORTIR,"sortir, aller dehors"
819,TERMINER,"terminer, finir, déjà"
1510,BOMBE,"bombe, exploser, paf, marre, s'énerver, pétard"
2240,CASQUETTE.ROLE,"casquette, rôle (changer)"
3885,DIRECTEUR.RECULER,"directeur, directrice, direction"
718,DEPUIS.LONGTEMPS,"depuis longtemps, depuis le temps, auparavant"
945,NOIR,noir
3584,NS:MAXIME(4-TETE),Maxime De Volder
1235,ELECTRICITE,"électrique, électricité"
226,EVIDENT,"évident, évidence, paf, apparaître, bien voir, clair"
3933,MENAGE,ménage
3435,NS:PICRON(ALCOOL),Picron
1900,RESTE.LONGTEMPS,"rester longtemps, pourrir"
4139,ALLER-RETOUR,aller-retour
3577,ENDROIT-L,"lieu, endroit, place"
2052,NS:MILAN(FETE),Milan
188,DUR,"dur, durement"
1011,BAIN,"salle de bain, bain"
765,GSIGN,forme de signe
2431,MAUVE,"mauve, violet"
86,BRUIT.SON,son
2774,FENETRE.2,fenêtre
3156,FUSIL,"fusil, terroriste, attaque, tuer"
1165,TRANQUILLE,"tranquille, à l'aise, ne plus rien faire, paresseux, fainéant, finir, prêt"
1365,HESITER.COEUR,"hésiter, hésitation, doute, douter"
3190,MARRAINE,marraine
3191,AFFICHE,"affiche, afficher, poster"
1501,GRAISSE,"gras, graisse"
1640,MICRO,micro
2253,KO.ECHEC,"KO, épuisé, fatigué, crevé"
205,ENCOURAGER,"encourager, supporter"
3891,TERRE.EXPLIQUER,terre
1470,ADAPTER.MACHINE-NEG,"pas adapté, pas complémentaire"
848,DISSOUDRE,"dissoudre, devenir poussière"
2814,VENTILATEUR.1,"ventilateur, ventiler"
1253,DIVORCER,"divorcer, divorce, séparation, (se) séparer, rupture"
1897,INTERNET.JOUER,internet
3746,RAIL,rail
3757,ECUREUIL.U-BOUCHE,écureuil
1515,POURRIR,pourrir
4071,VOIR.LOIN,"voir, observer, repérer"
3494,ATTACHER.CHEVEUX,"attacher des cheveux, nouer des cheveux"
318,LAISSER-TOMBER,"laisser tomber, enlever"
3392,PLUS.S,"plus, et, ajouter..."
2442,BENEFICE,"bénéfice, économiser, économie"
3511,HUMEUR.TORSE,"humeur, habitude, habituer"
1406,VANDALE,"vandale, bad boy, voyou, sauvage"
3725,BONBONNE,"bobonne, bon papa"
3048,MOUCHE,mouche
659,PERDRE,"perdre, se perdre"
3244,BASE.SURFACE,base
760,ENCORE,encore
3820,BOUILLON,bouillon
1740,INSTITUTRICE,institutrice
2842,PAYER.ENSEMBLE,"payer ensemble, cotiser"
102,CHANGER,changer
2617,DECOLLETE,Décolleté
2684,POCHE,poche
3402,SALLE.Y,salle
1140,TAXI,taxi
50,ATTENDRE,attendre
3787,DROITE.DIEU,"droite, à droite"
1010,CHAUD,"chaud, chaleur, échauffement, chauffer"
1465,NS:ANGLETERRE(LANGUE),"Angleterre, Royaume-Uni, anglais"
491,RIEN.MAGIE,"rien du tout, rien, sans"
2448,BOULANGER,"boulanger, boulangerie"
3307,CERF-VOLANT,"cerf-volant, kitesurf, powerkite"
758,PT:PRO2,tu
3015,RADIO,radio
1341,ANALYSER,"analyse, analyser"
785,BAR,"bar, barman, café, bière"
466,RANDONNEE,"randonnée, marcher avec un sac à dos, sac à dos"
1590,TEMPERATURE,"température, degré"
987,PLUS-JAMAIS,plus jamais
3795,ESCARGOT,escargot
394,ORGANISER,"organiser, organisation, maniaque"
345,MELANGER,"mélange, mélanger"
2813,NS:CONSTANT(BARBE),constant
804,APRES-DEMAIN,"après-demain, lendemain"
2375,ARGENT.GAGNER,"gagner de l'argent, empocher de l'argent, garder de l'argent"
3525,NORME,"norme, règles, conditions"
1881,PAS-CA,ce n'est pas ça
2999,REVENU,"revenu, argent"
3360,DE:RIRE-EXPLOSER,exploser de rire
613,TECHNIQUE,"technique, technologie, technologique"
2244,SEMAINE-2,deux semaines
2224,DE:CONVAINCRE-DOUCE,"convaincre, frotte-manche, lobbying, lobby"
